Animals,Countries,Capitals,Movies,Sports,Musical Instruments,Professions,Famous Scientists,Famous Landmarks,TV Shows,Books,Famous actors
Lion,Afghanistan,Kabul,The Shawshank Redemption,Soccer,Piano,Doctor,Isaac Newton,,,,
Tiger,Albania,Tirana,The Godfather,Basketball,Guitar,Nurse,Albert Einstein,,,,
Elephant,Algeria,Algiers,The Dark Knight,Baseball,Violin,Teacher,Galileo Galilei,,,,
Giraffe,Andorra,Andorra la Vella,Schindler's List,Football,Drums,Engineer,Charles Darwin,,,,
Zebra,Angola,Luanda,The Godfather Part II,Ice Hockey,Flute,Architect,Niels Bohr,,,,
Kangaroo,Antigua and Barbuda,St. John's,The Lord of the Rings The Return of the King,Tennis,Saxophone,Accountant,Marie Curie,,,,
Koala,Argentina,Buenos Aires,Pulp Fiction,Golf,Trumpet,Lawyer,Richard Feynman,,,,
Panda,Armenia,Yerevan,The Good the Bad and the Ugly,Cricket,Clarinet,Scientist,Nikola Tesla,,,,
Dolphin,Australia,Canberra,Fight Club,Rugby,Cello,Chef,Stephen Hawking,,,,
Shark,Austria,Vienna,Forrest Gump,Boxing,Trombone,Artist,Homi Bhabha,,,,
Whale,Azerbaijan,Baku,Inception,Mixed Martial Arts,Harp,Musician,Michael Faraday,,,,
Penguin,Bahamas,Nassau,The Lord of the Rings The Fellowship of the Ring,Wrestling,French Horn,Actor,Gregor Mendel,,,,
Eagle,Bahrain,Manama,Star Wars,Badminton,Accordion,Writer,Johannes Kepler,,,,
Falcon,Bangladesh,Dhaka,The Empire Strikes Back,Volleyball,Tuba,Photographer,Louis Pasteur,,,,
Hawk,Barbados,Bridgetown,The Matrix,Table Tennis,Oboe,Pharmacist,Erwin Schrodinger,,,,
Owl,Belarus,Minsk,Goodfellas,Swimming,Bassoon,Veterinarian,Alan Turing,,,,
Parrot,Belgium,Brussels,One Flew Over the Cuckoo's Nest,Track and Field,Mandolin,Dentist,Rosalind Franklin,,,,
Crow,Belize,Belmopan,Seven Samurai,Cycling,Banjo,Pilot,Carl Sagan,,,,
Sparrow,Benin,Porto-Novo,The Silence of the Lambs,Rowing,Sitar,Mechanic,Lavoisier Antoine,,,,
Flamingo,Bhutan,Thimphu,It's a Wonderful Life,Skiing,Marimba,Electrician,Robert Hooke,,,,
Cheetah,Bolivia,"Sucre (official), La Paz (administrative)",Se7en,Snowboarding,Xylophone,Plumber,Vikram Sarabhai,,,,
Leopard,Bosnia and Herzegovina,Sarajevo,Life is Beautiful,Surfing,Bass Guitar,Carpenter,Enrico Fermi,,,,
Jaguar,Botswana,Gaborone,The Usual Suspects,Skateboarding,Harmonica,Designer,Ernst Rutherford,,,,
Rhinoceros,Brazil,Brasília,Léon The Professional,Gymnastics,Bagpipes,Journalist,Herschel William,,,,
Hippopotamus,Brunei,Bandar Seri Begawan,The Departed,Judo,Timpani,Social Worker,Francis Crick,,,,
Crocodile,Bulgaria,Sofia,Gladiator,Taekwondo,Synthesizer,Therapist,Watson James,,,,
Alligator,Burkina Faso,Ouagadougou,The Prestige,Karate,Electric Guitar,Marketer,Claude Shannon,,,,
